

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master4,1474,1469,15,1454,4,1,0,0,11988.9,15731.7
cvc4_bags4,1474,1260,10,1250,185,28,1,0,53597.8,122084.5



DIRECTORY,cvc4_master4,cvc4_bags4
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_loop_check_heap_access_35_4.smt2,ok,20,0,0.1,19.5,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_loop_invariant_36_3.smt2,ok,20,0,72.51,103.7,ok,20,0,0.02,15.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_postcondition_of_dl_copy_37_1.smt2,ok,20,0,0.29,27.3,ok,20,0,0.29,29.9
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_dispose_invariant_17_2.smt2,ok,20,0,0.0,3.9,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_dispose_loop_check_free_22_4.smt2,ok,20,0,0.01,3.2,ok,20,0,0.0,2.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_dispose_loop_check_heap_access_21_4.smt2,ok,20,0,0.01,3.5,ok,20,0,0.0,2.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_dispose_loop_invariant_23_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_dispose_postcondition_of_dl_dispose_24_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_invariant_19_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_loop_check_free_36_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_loop_check_heap_access_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_loop_check_heap_access_27_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_loop_check_heap_access_32_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_loop_invariant_40_3.smt2,ok,20,0,4.28,33.9,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_filter_postcondition_of_dl_filter_41_1.smt2,ok,20,0,1.0,29.2,ok,20,0,0.09,21.9
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_check_heap_access_16_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_check_heap_access_31_4.smt2,ok,20,0,0.0,12.6,ok,20,0,0.04,18.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_check_heap_access_32_4.smt2,ok,20,0,0.1,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_check_heap_access_34_6.smt2,ok,20,0,0.05,15.7,ok,20,0,0.0,0.0
