

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_39_8.smt2,ok,20,0,30.79,66.3,ok,20,0,18.69,63.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_41_8.smt2,ok,20,0,24.2,57.0,ok,20,0,14.69,52.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_46_8.smt2,ok,20,0,64.99,73.7,ok,20,0,18.59,55.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_47_5.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_precondition_of_difference_38_21.smt2,ok,20,0,0.09,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_precondition_of_difference_41_15.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_precondition_of_difference_46_15.smt2,ok,20,0,0.19,19.8,ok,20,0,0.19,20.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dispose_invariant_13_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dispose_loop_check_free_19_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dispose_loop_check_heap_access_18_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dispose_loop_invariant_20_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dispose_postcondition_of_dispose_20_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_check_heap_access_23_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
